Amino_acid_metabolism	Amino_sugar_and_nucleotide_sugar_metabolism	Carbohydrate_metabolism	Inositol_phosphate_metabolism	Lipid_and_fatty_acid_metabolism	Medium	Metabolism_of_cofactors_and_vitamins	Nucleotide_metabolism	Other	Pseudoreaction	Sink	Terpenoid_backbone_biosynthesis	Transport
5.19967442061452	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	63.251159761721	0	0	0	0	0
0.0158140240264316	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	78.0062374068893	0
0	0	0.0321567054049926	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0.123659740890894	0	0	0	0	0	0.123659740890894	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
19.7359198480171	0	0	0	0	0	0	0	0	0	0	0	0
30.4588072983705	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
55.601592652988	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	79.6471161096774	0	0	0	0	0	0	0	0	0	0
0	0	11.4405743467873	0	0	0	0	0	0	0	0	0	0
77.4583664930937	0	0	0	0	0	0	0	0	0	0	0	0
0	0	13.1503094954502	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0161582424614705	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	20.1376586735916	0	0	0	0	0	0
36.6454232127693	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0.760562898962468	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	NaN
NaN	0	0	0	0	0	0	0	0	0	0	0	0
8.19804282633348	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	41.5874769278661	0	0	0	0	0
6.54778787235127	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	109.544511501026	0	0	0	0	0
0	0	0	0	0	0	0	27.7072150095629	0	0	0	0	0
11.3058843503765	0	11.3058843503765	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
1.59623166201604	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	11.1951422411478	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	14.1093325663284	0
0	0	0	0	0.961055354729799	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.0180432285305462	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	NaN	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0	14.140368778173	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0.312908210443389	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	63.156674150445	0	0	0	0	0	0	0	0	0	0
0	0	109.544511501034	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	31.7615715591734	0	0	0	0	0
0	0	0	0	0	0	31.7541615798553	0	0	0	0	0	0
24.0653862814236	0	0	0	0	0	0	0	0	0	0	0	0
1.82380073011572	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	0	0	0	0	0	0	NaN	0	0	0	0
0	0	0	0	0	0	3.29623147631752	0	0	0	0	0	0
0.220080229675659	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	3.91397884108998	0	0	0	0	0
0	0	0	0	0	0	NaN	NaN	0	0	0	0	0
0	0	39.4573049980526	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	49.1533977932888	0	0	0	0	0	0
0	0	0	0	6.06892764350423	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3.3501314961598	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	4.7138622197519
0	0	0	0	0	0	0.123701022537237	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0	0	0.239751264332101	0	0	0	0	0	0
21.7045565584003	0	0	0	0	0	0	0	0	0	0	0	0
0	0	5.00938105615393	0	0	0	0	0	0	0	0	0	0
0	0	0	0	3.9434778210603	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
10.2913618234891	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.124001946882097	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	41.3938735534667	0	0	0	0	0	0	0	0	0	0
0	0	4.83188151047573	0	0	0	0	0	4.83188151047573	0	0	0	0
0	0	0	0	109.544511501033	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	0	0	0.123659655655716	0	0	0	0	0	0	0	0
0	0	0	0	3.51358321962049	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.0172670566335758
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	0.136650246244344	0	0	0	0	0
0	0	0	0	49.1515230349847	0	0	0	0	0	0	0	0
0	0	9.13292799042931	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.253147540664897	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.123659655324251
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
0	0	0	0	0	0	0	0	0	0	0	0	0.0171121639781948
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	8.12198745673185	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	77.4586285502661	0	0	0	0	0	0
0	NaN	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	NaN	0	0	0	0	0
0	0	44.7128534386687	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.49722339428373	0	0	0	0	0	0	0	0
0	0	0	0	1.23654712762986	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2.08150864638379	0	0	0	0	0	0
0	0	0	0	0	0	0	4.7249612898505	0	0	0	0	0
0	0	0	0	0	0	6.03927315894481	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	0	0	0	0	0	0	0	0.123659655271434	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0.769150215835602	0	0	0	0	0	0	0	0	0	0
0	0	0	0	45.810754970409	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	5.94475957719396	0	0	0	0
5.02381361154617	0	0	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	2.07493782910465	0	0	0	0	0	2.07493782910465
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	49.589537523981
0	0	0	0	0	0	0	0	0	0	0	0	NaN
37.3406901831804	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	0	3.55769838334842	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
NaN	0	0	0	0	0	0	0	0	0	0	0	0
22.3892881843025	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	34.7013163976529	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.60378639514524	0	0	0	0	0	0
0	0	0	0	55.0610895451705	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	17.989770054854
0	0	0	0	0	0	0	0	0	0	0	0	49.1413716810504
0	0	NaN	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	NaN
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	3.21716032539411	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.0170644752760817
0	0	0	0	1.91801902832845	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.0171039544918356	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	8.1490326443583
0	0	0	0	NaN	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0.744398119398881	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0.12365965526572	0	0	0	0	0	0
1.30726736933869	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.123689515427623
NaN	0	0	0	0	0	0	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	0	0	1.7820420317632	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0.0722436430908898
30.6112517169634	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
0	0	0	0	10.2031117296148	0	0	0	0	0	0	0	0
0	0	27.0696894691824	0	0	0	0	0	0	0	0	0	0
0	0	NaN	0	0	0	NaN	0	0	0	0	0	0
0	0	0	0	0	0	3.53391697582463	0	0	0	0	0	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0.123659655265728	0
NaN	0	0	0	0	0	0	0	0	0	0	0	0
63.2531569088139	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	1.35632024214774	0	0	0	0	0	0	0	0
8.53908978019112	0	0	0	0	0	0	0	8.53908978019112	0	0	0	0
0.221684347812414	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1.18315882744391	0	0	0	0	0	1.18315882744391	0	0	0	0
0	0	0	0	NaN	0	0	0	0	0	0	0	0
