r0182_c0,xmp_pyrophosphate_phosphoribosyltransferase_c0,Nucleotide metabolism,0.54170242,0.52756648,0.47632228
r0184_c0_f,chorismate_pyruvate_lyase_amino_accepting_c0,Amino acid metabolism,0.19834442,0.52949956,0.81651968
r0185_m0_f,l_leucine_2_oxoglutarate_aminotransferase_m0,Amino acid metabolism,0.20998082,0.60526424,0.8573874
r0186_c0,hypoxanthine_nad_plus_oxidoreductase_c0,Nucleotide metabolism,0.49175734,0.5114406,0.51309906
r0187_c0_f,nitrate_reductase_nadph_c0,Other,0.45455544,0.41746564,0.49314368
r0188_m0,hydrogen_carbonate_l_glutamine_amido_ligase_adp_forming_carbamate_phosphorylating_m0,Nucleotide metabolism,0.50247444,0.52407572,0.50469748
r0189_c0,dudp_nucleotidohydrolase_c0,Nucleotide metabolism,0.6219576,0.64034492,0.45973204
r0191_c0_f,3_hydroxyanthranilate_oxygen_3_4_oxidoreductase_decyclizing_c0,Amino acid metabolism,0.0639153,0.33723252,0.82708016
r0193_c0_f,l_serine_hydro_lyase_adding_1_c_indol_3_ylglycerol_3_phosphate_l_tryptophan_and_glyceraldehyde_3_phosphate_forming_c0,Amino acid metabolism,0.42084554,0.56503318,0.73705082
r0194_r0_f,palmitoyl_coa_l_serine_c_palmitoyltransferase_decarboxylating_r0,Lipid and fatty acid metabolism,0.50412804,0.60147334,0.69594412
r0195_c0,deoxyadenosine_aminohydrolase_c0,Nucleotide metabolism,0.50748122,0.50064834,0.48174394
r0196_c0_f,l_threonine_acetaldehyde_lyase_glycine_forming_c0,Amino acid metabolism,0.30898952,0.52151764,0.7047828
r0197_c0_f,acetoacetate_coa_ligase_amp_forming_c0,Lipid and fatty acid metabolism,0.0950973,0.31747514,0.7699825
r0198_c0,o_phospho_l_homoserine_phosphate_lyase_adding_waterl_threonine_forming_c0,Amino acid metabolism,0.46325218,0.48398196,0.51325436
r0199_c0,diphosphate_phosphohydrolase_c0,Other,0.54825278,0.58491414,0.48793158
r0200_c0_f,3_phosphoserine_2_oxoglutarate_aminotransferase_c0,Amino acid metabolism,0.086255,0.28470728,0.73938064
r0201_c0_f,trehalose_6_phosphate_phosphohydrolase_c0,Carbohydrate metabolism,0.64494474,0.6825382,0.48806652
