GLOIN_2v1155248	9
GLOIN_2v1155301	17
GLOIN_2v1157842	165
GLOIN_2v1158415	2411
GLOIN_2v1158784	0.333333
GLOIN_2v1158840	235.333
GLOIN_2v1160608	39
GLOIN_2v1161935	81
GLOIN_2v116269	1.66667
GLOIN_2v1165778	766
GLOIN_2v1166165	102.333
GLOIN_2v116729	511.333
GLOIN_2v1167950	75.6667
GLOIN_2v1169154	268.667
GLOIN_2v1170152	49.3333
GLOIN_2v1170208	0
GLOIN_2v1170237	6.66667
GLOIN_2v1171131	64.3333
GLOIN_2v1171994	3.33333
GLOIN_2v1172616	34
GLOIN_2v1173047	216
GLOIN_2v1174747	330.333
GLOIN_2v1174979	45.6667
GLOIN_2v1175369	58.6667
GLOIN_2v1176464	15.6667
GLOIN_2v1176608	13.3333
GLOIN_2v120438	30.6667
GLOIN_2v121831	217.333
GLOIN_2v122239	497.333
GLOIN_2v127817	473.333
GLOIN_2v129758	1962.67
GLOIN_2v130112	103.667
GLOIN_2v130608	10.3333
GLOIN_2v130609	11
GLOIN_2v132085	54.6667
GLOIN_2v132101	45
GLOIN_2v132109	26
GLOIN_2v133885	217.333
GLOIN_2v134099	0
GLOIN_2v134509	7.33333
GLOIN_2v135464	62.3333
GLOIN_2v136030	291.667
GLOIN_2v136687	33.3333
GLOIN_2v136994	75.3333
GLOIN_2v137005	0
GLOIN_2v137259	71
GLOIN_2v137998	276
GLOIN_2v138034	5.33333
GLOIN_2v141924	99.3333
GLOIN_2v1419630	0
GLOIN_2v1419660	0
GLOIN_2v1419675	0.666667
GLOIN_2v1419686	0
GLOIN_2v1419709	23
GLOIN_2v1419744	0
GLOIN_2v1419798	26
GLOIN_2v1419845	0
GLOIN_2v1419998	0
GLOIN_2v1420020	15
GLOIN_2v1420097	1
GLOIN_2v1420145	0
GLOIN_2v1420215	5.66667
GLOIN_2v1420216	73.6667
GLOIN_2v1420218	11
GLOIN_2v1420222	1.66667
GLOIN_2v1420322	0
GLOIN_2v1420372	84.3333
GLOIN_2v1420502	225.667
GLOIN_2v1420844	0
GLOIN_2v1420858	0
GLOIN_2v1420866	2.33333
GLOIN_2v1420874	0
GLOIN_2v1420922	0
GLOIN_2v1420976	1
GLOIN_2v1420996	0.333333
GLOIN_2v1421000	0
GLOIN_2v1421008	0
GLOIN_2v1421023	0.666667
GLOIN_2v1421029	32.6667
GLOIN_2v1421051	0
GLOIN_2v1421158	2
GLOIN_2v1421171	0
GLOIN_2v1421253	0
GLOIN_2v1421264	0
GLOIN_2v1421309	0
GLOIN_2v1421400	0
GLOIN_2v1421518	10
GLOIN_2v1421551	0
GLOIN_2v1421727	2.33333
GLOIN_2v1421828	0
GLOIN_2v1421849	0
GLOIN_2v1421852	0
GLOIN_2v1421927	0.666667
GLOIN_2v1421928	0
GLOIN_2v1421977	0
GLOIN_2v1421986	0
GLOIN_2v1422068	6.66667
GLOIN_2v1422095	45.3333
GLOIN_2v1422096	0
GLOIN_2v1422133	0
GLOIN_2v1422290	3.33333
GLOIN_2v1422383	441.333
GLOIN_2v1422392	0
GLOIN_2v1422557	0
GLOIN_2v1422574	0
GLOIN_2v1422735	1194
GLOIN_2v1422774	0
GLOIN_2v1422809	0
GLOIN_2v1422848	0.666667
GLOIN_2v1423013	0
GLOIN_2v1423096	0
GLOIN_2v1423222	20.6667
GLOIN_2v1423279	0
GLOIN_2v1423477	1.33333
GLOIN_2v1423507	0
GLOIN_2v1423537	1
