rxns	kcats	EC_Numbers
r_0180	8.88;8.88	EC1.1.1.1;EC1.1.1.1
r_0181	9581;9581	EC1.1.1.2;EC1.1.1.2
r_0182	8.88;34.5;8.88	EC1.1.1.1;EC1.1.1.284 EC1.1.1.1 EC1.1.1.-;EC1.1.1.1
r_0183	8.88;8.88	EC1.1.1.1;EC1.1.1.1
r_0184	6.5;6.5	EC1.1.1.2;EC1.1.1.2
r_0185	50;50	EC1.2.1.3;EC1.2.1.3
r_0186	8.88;34.5;8.88	EC1.1.1.1;EC1.1.1.284 EC1.1.1.1 EC1.1.1.-;EC1.1.1.1
r_0187	8.88;8.88	EC1.1.1.1;EC1.1.1.1
r_0188	118.1483	EC3.1.3.1 EC3.1.3.54 EC3.1.7.6
r_0189	750	EC3.5.3.4
r_0190	420	EC3.5.2.5
r_0191	26.01	EC6.3.4.6 EC3.5.1.54
r_0192	70.9;70.9;70.9;70.9;70.9;70.9;70.9;70.9	EC2.4.1.-;EC2.4.1.-;EC2.4.1.-;EC2.4.1.-;EC2.4.1.-;EC2.4.1.-;EC2.4.1.-;EC2.4.1.-
r_0193	167;167	EC3.2.1.28;EC3.2.1.28
r_0194	167	EC3.2.1.28
r_0195	157.5;157.5	EC2.4.1.15 EC3.1.3.12;EC2.4.1.15 EC3.1.3.12
r_0198	709;137;709;137;137;137	EC3.2.1.20;EC3.2.1.10;EC3.2.1.20;EC3.2.1.10;EC3.2.1.10;EC3.2.1.10
r_0199	7216;11.8	EC3.5.1.4;EC6.3.5.7
r_0200		
r_0201	71.07	EC1.2.1.5
r_0202	2.9	EC2.4.2.18
r_0203	0.58	EC4.1.3.27
r_0204	0.6875	EC3.6.1.29
r_0205	266	EC1.1.1.21 EC1.1.1.-
r_0206	0.27	EC3.5.3.1
r_0207	2930	EC4.3.2.1
r_0208	17.252	EC6.3.4.5
r_0209	17.9	EC6.1.1.19
r_0210	17.9	EC6.1.1.19
r_0211	1.7;1.7	EC6.3.5.4;EC6.3.5.4
r_0212	10.1	EC6.1.1.22
r_0213	10.1	EC6.1.1.22
r_0214	417	EC6.3.5.5 EC2.1.3.2
r_0215	227	EC2.7.2.4
r_0216	322	EC2.6.1.1
r_0217	574	EC2.6.1.1
r_0218	322	EC2.6.1.1
r_0219	189.8	EC1.2.1.11
r_0220	6.7	EC6.1.1.12
r_0221	6.7	EC6.1.1.12
r_0222	96	EC2.7.7.53 EC2.7.7.5
r_0223	96	EC2.7.7.53 EC2.7.7.5
r_0224	96	EC2.7.7.53 EC2.7.7.5
r_0225	2.7	EC2.4.2.17
r_0226	20;20;20	EC3.6.3.14;EC3.6.3.14;EC3.6.3.14
r_0227	3;3;860	EC3.6.3.6;EC3.6.3.6;EC3.6.1.5
r_0228	70.9	EC2.4.1.142
r_0229	0.00055	EC2.8.1.6
r_0230	450000	EC6.3.4.- EC6.3.4.9 EC6.3.4.10 EC6.3.4.11 EC6.3.4.15
r_0231	0.06475	EC1.3.1.70
r_0233	0.015	EC1.14.19.41
r_0234	11920	EC1.1.1.170
r_0235	11920	EC1.1.1.170
r_0236	0.73	EC1.1.1.270
r_0237	0.73	EC1.1.1.270
r_0238	1.25	EC1.14.13.72
r_0239	1.25	EC1.14.13.72
r_0240	1.25	EC1.14.13.72
r_0241	0.41667	EC1.14.13.72
r_0242	0.015	EC1.14.19.20
r_0243	16700	EC5.-.-.-
r_0244	0.69067	EC1.3.1.71
r_0249	1.3005	EC2.5.1.58
r_0250	2660	EC6.3.5.5
r_0252	97.6;97.6	EC2.3.1.7;EC2.3.1.7
r_0253	97.6	EC2.3.1.7
r_0254	1333.3333	EC2.3.1.7
r_0255	850000	EC1.11.1.6
r_0256	850000	EC1.11.1.6
r_0259	900	EC1.-.-.-
r_0260	900	EC1.-.-.-
r_0261	900	EC1.-.-.-
r_0262	900	EC1.-.-.-
r_0263	0.0592;0.0592	EC2.3.1.24;EC2.3.1.24
r_0264	0.0592;0.0592	EC2.3.1.24;EC2.3.1.24
r_0265	0.0592;0.0592	EC2.3.1.24;EC2.3.1.24
r_0266	0.0592;0.0592	EC2.3.1.24;EC2.3.1.24
r_0267	900	EC1.-.-.-
r_0268	900	EC1.-.-.-
r_0269	900	EC1.-.-.-
r_0270	900	EC1.-.-.-
r_0271	552.55;552.55	EC3.5.1.41;EC3.5.1.41
r_0272	405.65;405.65;405.65	EC2.4.1.16;EC2.4.1.16;EC2.4.1.16
r_0273	2.55	EC2.7.1.32
r_0274	33.3	EC2.7.7.15
r_0278	361	EC5.4.99.5
r_0279	0.87	EC4.2.3.5
r_0280	3.3	EC4.2.1.3
r_0281	3.3;3.3	EC2.5.1.87;EC2.5.1.87
r_0282	0.34;0.34	EC2.5.1.87;EC2.5.1.87
r_0283	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0284	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0285	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0286	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0287	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0288	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0289	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0290	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0291	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0292	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0293	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0294	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0295	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0296	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0297	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0298	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0299	0.037;0.037	EC2.5.1.87;EC2.5.1.87
r_0300	167;167	EC2.3.3.1;EC2.3.3.1
r_0301	11.2	EC2.3.3.16
r_0302	5.3	EC4.2.1.3
r_0303	5.3	EC4.2.1.3
r_0304	0.017	EC1.3.3.3
r_0306	14;14	EC6.3.4.2;EC6.3.4.2
r_0307	14;14	EC6.3.4.2;EC6.3.4.2
r_0308	0.91;0.91	EC4.4.1.8;EC4.4.1.8
r_0309	21.5	EC4.2.1.22
r_0310	1.81	EC4.4.1.1
r_0311	121	EC2.5.1.48
r_0312	232	EC2.5.1.47 EC2.5.1.49
r_0313	10.3	EC6.1.1.16
r_0314	4.8	EC3.5.4.5
r_0315	3.2	EC2.7.1.48
r_0317	3.4	EC1.14.13.70 EC1.6.2.4
r_0318	170	EC3.5.4.1
r_0319	20.9	EC1.1.3.37
r_0320	124.5667	EC1.1.1.116
r_0321	2340	EC1.1.1.117
r_0322	6.08	EC4.1.2.13
r_0323	161;161	EC1.1.1.14;EC1.1.1.14
r_0326	1400	EC3.5.4.12
r_0327	5.7	EC3.5.4.12
r_0328	5.5	EC3.5.4.2
r_0329	2.9716	EC3.5.4.5
r_0330	90	EC2.7.4.8
r_0331	0.015	EC2.5.1.46
r_0332	10.2	EC2.7.1.15
r_0334	0.0481	EC2.7.1.24
r_0335	0.0014	EC6.3.3.3
r_0340	161	EC3.5.1.-
r_0341	161	EC3.5.1.-
r_0342	161	EC3.5.1.-
r_0343	161	EC3.5.1.-
r_0344	60.9	EC1.5.1.3
r_0345	60.9	EC1.5.1.3
r_0346	0.012142	EC6.3.2.12
r_0347	0.082	EC4.1.2.25 EC2.7.6.3 EC2.5.1.15
r_0348	3830	EC3.6.-.-
r_0349	1.87	EC3.5.2.3
r_0350	0.109	EC4.1.2.25 EC2.7.6.3 EC2.5.1.15
r_0351	0.109	EC4.1.2.25 EC2.7.6.3 EC2.5.1.15
r_0352	25	EC4.2.1.9
r_0353	25	EC4.2.1.9
r_0354	24.02;24.02	EC2.7.1.28 EC2.7.1.29;EC2.7.1.28 EC2.7.1.29
r_0355	1.1	EC2.5.1.10 EC2.5.1.1
