rxns	kcats	EC_Numbers
r_2384	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2385	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2386	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2387	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2388	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2389	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2390	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2391	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2392	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2393	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2394	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2395	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2396	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2397	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2398	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2399	10326.3933;10326.3933;0.92	EC2.3.1.26;EC2.3.1.26;EC2.3.1.20 EC2.3.1.22
r_2400	0.92	EC2.3.1.20 EC2.3.1.22
r_2401	0.92	EC2.3.1.20 EC2.3.1.22
r_2402	0.92	EC2.3.1.20 EC2.3.1.22
r_2403	0.92	EC2.3.1.20 EC2.3.1.22
r_2404	0.92	EC2.3.1.20 EC2.3.1.22
r_2405	0.92	EC2.3.1.20 EC2.3.1.22
r_2406	0.92	EC2.3.1.20 EC2.3.1.22
r_2407	0.92	EC2.3.1.20 EC2.3.1.22
r_2408	0.92	EC2.3.1.20 EC2.3.1.22
r_2409	0.92	EC2.3.1.20 EC2.3.1.22
r_2410	0.92	EC2.3.1.20 EC2.3.1.22
r_2411	0.92	EC2.3.1.20 EC2.3.1.22
r_2412	0.92	EC2.3.1.20 EC2.3.1.22
r_2413	0.92	EC2.3.1.20 EC2.3.1.22
r_2414	0.92	EC2.3.1.20 EC2.3.1.22
r_2415	0.92	EC2.3.1.20 EC2.3.1.22
r_2416	0.92	EC2.3.1.20 EC2.3.1.22
r_2417	0.92	EC2.3.1.20 EC2.3.1.22
r_2418	0.92	EC2.3.1.20 EC2.3.1.22
r_2419	0.92	EC2.3.1.20 EC2.3.1.22
r_2420	0.92	EC2.3.1.20 EC2.3.1.22
r_2421	0.92	EC2.3.1.20 EC2.3.1.22
r_2422	0.92	EC2.3.1.20 EC2.3.1.22
r_2423	0.92	EC2.3.1.20 EC2.3.1.22
r_2424	0.92	EC2.3.1.20 EC2.3.1.22
r_2425	0.92	EC2.3.1.20 EC2.3.1.22
r_2426	0.92	EC2.3.1.20 EC2.3.1.22
r_2427	0.92	EC2.3.1.20 EC2.3.1.22
r_2428	0.92	EC2.3.1.20 EC2.3.1.22
r_2429	0.92	EC2.3.1.20 EC2.3.1.22
r_2430	0.92	EC2.3.1.20 EC2.3.1.22
r_2431	0.92	EC2.3.1.20 EC2.3.1.22
r_2432	8.92	EC2.7.7.41
r_2433	8.92	EC2.7.7.41
r_2434	8.92	EC2.7.7.41
r_2435	8.92	EC2.7.7.41
r_2436	8.92	EC2.7.7.41
r_2437	8.92	EC2.7.7.41
r_2438	8.92	EC2.7.7.41
r_2439	8.92	EC2.7.7.41
r_2440	8.92	EC2.7.7.41
r_2441	8.92	EC2.7.7.41
r_2442	8.92	EC2.7.7.41
r_2443	8.92	EC2.7.7.41
r_2444	8.92	EC2.7.7.41
r_2445	8.92	EC2.7.7.41
r_2446	325	EC2.7.8.8
r_2447	325	EC2.7.8.8
r_2448	325	EC2.7.8.8
r_2449	325	EC2.7.8.8
r_2450	325	EC2.7.8.8
r_2451	325	EC2.7.8.8
r_2452	325	EC2.7.8.8
r_2453	325	EC2.7.8.8
r_2454	0.45333	EC2.7.8.11
r_2455	0.45333	EC2.7.8.11
r_2456	0.45333	EC2.7.8.11
r_2457	0.45333	EC2.7.8.11
r_2458	0.45333	EC2.7.8.11
r_2459	0.45333	EC2.7.8.11
r_2460	0.45333	EC2.7.8.11
r_2461	0.45333	EC2.7.8.11
r_2462	0.059	EC2.3.-.-
r_2463	0.059	EC2.3.-.-
r_2464	0.053333	EC4.1.1.65
r_2465	0.053333	EC4.1.1.65
r_2466	0.053333	EC4.1.1.65
r_2467	0.053333	EC4.1.1.65
r_2468	0.053333	EC4.1.1.65
r_2469	0.053333	EC4.1.1.65
r_2470	0.053333	EC4.1.1.65
r_2471	0.053333	EC4.1.1.65
r_2472	0.053333	EC4.1.1.65
r_2473	0.053333	EC4.1.1.65
r_2474	0.053333	EC4.1.1.65
r_2475	0.053333	EC4.1.1.65
r_2476	0.053333	EC4.1.1.65
r_2477	0.053333	EC4.1.1.65
r_2478	0.053333	EC4.1.1.65
r_2479	0.053333	EC4.1.1.65
r_2480	0.053333	EC4.1.1.65
r_2481	0.053333	EC4.1.1.65
r_2482	0.053333	EC4.1.1.65
r_2483	0.053333	EC4.1.1.65
r_2484	0.053333	EC4.1.1.65
r_2485	0.053333	EC4.1.1.65
r_2486	0.053333	EC4.1.1.65
r_2487	0.053333	EC4.1.1.65
r_2488	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2489	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2490	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2491	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2492	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2493	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2494	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2495	28.6333;28.6333	EC2.1.1.17;EC2.1.1.17 EC2.1.1.71
r_2496	28.6333	EC2.1.1.17 EC2.1.1.71
r_2497	28.6333	EC2.1.1.17 EC2.1.1.71
r_2498	28.6333	EC2.1.1.17 EC2.1.1.71
r_2499	28.6333	EC2.1.1.17 EC2.1.1.71
r_2500	28.6333	EC2.1.1.17 EC2.1.1.71
r_2501	28.6333	EC2.1.1.17 EC2.1.1.71
r_2502	28.6333	EC2.1.1.17 EC2.1.1.71
r_2503	28.6333	EC2.1.1.17 EC2.1.1.71
r_2504	28.6333	EC2.1.1.17 EC2.1.1.71
r_2505	28.6333	EC2.1.1.17 EC2.1.1.71
r_2506	28.6333	EC2.1.1.17 EC2.1.1.71
r_2507	28.6333	EC2.1.1.17 EC2.1.1.71
r_2508	28.6333	EC2.1.1.17 EC2.1.1.71
r_2509	28.6333	EC2.1.1.17 EC2.1.1.71
r_2510	28.6333	EC2.1.1.17 EC2.1.1.71
r_2511	28.6333	EC2.1.1.17 EC2.1.1.71
r_2512	20	EC2.7.1.174
r_2513	20	EC2.7.1.174
r_2514	20	EC2.7.1.174
r_2515	20	EC2.7.1.174
r_2516	20	EC2.7.1.174
r_2517	20	EC2.7.1.174
r_2518	20	EC2.7.1.174
r_2519	20	EC2.7.1.174
r_2520	0.059133	EC2.7.8.1 EC2.7.8.2
r_2521	0.059133	EC2.7.8.1 EC2.7.8.2
r_2522	0.059133	EC2.7.8.1 EC2.7.8.2
r_2523	0.059133	EC2.7.8.1 EC2.7.8.2
r_2524	0.059133	EC2.7.8.1 EC2.7.8.2
r_2525	0.059133	EC2.7.8.1 EC2.7.8.2
r_2526	0.059133	EC2.7.8.1 EC2.7.8.2
r_2527	0.059133	EC2.7.8.1 EC2.7.8.2
r_2528	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2529	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2530	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2531	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2532	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2533	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2534	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2535	0.059133;0.000279	EC2.7.8.1 EC2.7.8.2;EC2.7.8.2
r_2536	2.34	EC2.7.8.5
r_2537	2.34	EC2.7.8.5
r_2538	2.34	EC2.7.8.5
r_2539	2.34	EC2.7.8.5
r_2540	2.34	EC2.7.8.5
r_2541	2.34	EC2.7.8.5
r_2542	24	EC3.1.3.27
r_2543	24	EC3.1.3.27
r_2544	24	EC3.1.3.27
r_2545	24	EC3.1.3.27
r_2546	24	EC3.1.3.27
r_2547	24	EC3.1.3.27
r_2548	0.002052	EC2.7.8.41
r_2549	0.002052	EC2.7.8.41
r_2550	0.002052	EC2.7.8.41
r_2551	0.002052	EC2.7.8.41
r_2552	0.002052	EC2.7.8.41
r_2553	0.002052	EC2.7.8.41
r_2554	0.002052	EC2.7.8.41
r_2555	0.002052	EC2.7.8.41
r_2556	0.002052	EC2.7.8.41
r_2557	0.002052	EC2.7.8.41
r_2558	0.002052	EC2.7.8.41
r_2559	0.002052	EC2.7.8.41
r_2560	0.002052	EC2.7.8.41
r_2561	0.002052	EC2.7.8.41
r_2562	0.002052	EC2.7.8.41
r_2563	0.002052	EC2.7.8.41
r_2564	0.002052	EC2.7.8.41
r_2565	0.002052	EC2.7.8.41
r_2566	0.002052	EC2.7.8.41
r_2567	0.002052	EC2.7.8.41
r_2568	0.002052	EC2.7.8.41
r_2569	0.002052	EC2.7.8.41
r_2570	0.002052	EC2.7.8.41
r_2571	0.002052	EC2.7.8.41
r_2572	0.002052	EC2.7.8.41
r_2573	0.002052	EC2.7.8.41
r_2574	0.002052	EC2.7.8.41
r_2575	0.002052	EC2.7.8.41
r_2576	0.002052	EC2.7.8.41
r_2577	0.002052	EC2.7.8.41
r_2578	0.002052	EC2.7.8.41
r_2579	0.002052	EC2.7.8.41
r_2580	0.002052	EC2.7.8.41
r_2581	0.002052	EC2.7.8.41
r_2582	0.002052	EC2.7.8.41
r_2583	0.002052	EC2.7.8.41
r_2584	161	EC3.5.1.-
r_2585	161	EC3.5.1.-
r_2586	161	EC3.5.1.-
r_2587	161	EC3.5.1.-
r_2588	161	EC3.5.1.-
r_2589	161	EC3.5.1.-
r_2590	161	EC3.5.1.-
r_2591	161	EC3.5.1.-
r_2592	161	EC3.5.1.-
r_2593	161	EC3.5.1.-
r_2594	161	EC3.5.1.-
r_2595	161	EC3.5.1.-
r_2596	161	EC3.5.1.-
r_2597	161	EC3.5.1.-
r_2598	161	EC3.5.1.-
r_2599	161	EC3.5.1.-
r_2600	161	EC3.5.1.-
r_2601	161	EC3.5.1.-
r_2602	161	EC3.5.1.-
r_2603	161	EC3.5.1.-
r_2604	161	EC3.5.1.-
r_2605	161	EC3.5.1.-
r_2606	161	EC3.5.1.-
r_2607	161	EC3.5.1.-
r_2608	161	EC3.5.1.-
r_2609	161	EC3.5.1.-
r_2610	161	EC3.5.1.-
r_2611	161	EC3.5.1.-
r_2612	161	EC3.5.1.-
r_2613	161	EC3.5.1.-
r_2614	161	EC3.5.1.-
r_2615	161	EC3.5.1.-
r_2616	161	EC3.5.1.-
r_2617	161	EC3.5.1.-
r_2618	161	EC3.5.1.-
r_2619	161	EC3.5.1.-
r_2620	33.75	EC2.3.1.23
r_2621	33.75	EC2.3.1.23
r_2622	33.75	EC2.3.1.23
r_2623	33.75	EC2.3.1.23
r_2624	33.75	EC2.3.1.23
r_2625	33.75	EC2.3.1.23
r_2626	33.75	EC2.3.1.23
r_2627	33.75	EC2.3.1.23
r_2628	33.75	EC2.3.1.23
r_2629	33.75	EC2.3.1.23
r_2630	33.75	EC2.3.1.23
r_2631	33.75	EC2.3.1.23
r_2632	33.75	EC2.3.1.23
r_2633	33.75	EC2.3.1.23
r_2634	33.75	EC2.3.1.23
r_2635	33.75	EC2.3.1.23
r_2636	33.75	EC2.3.1.23
r_2637	33.75	EC2.3.1.23
r_2638	33.75	EC2.3.1.23
r_2639	33.75	EC2.3.1.23
r_2640	33.75	EC2.3.1.23
r_2641	33.75	EC2.3.1.23
r_2642	33.75	EC2.3.1.23
r_2643	33.75	EC2.3.1.23
r_2644	33.75	EC2.3.1.23
r_2645	33.75	EC2.3.1.23
r_2646	33.75	EC2.3.1.23
r_2647	33.75	EC2.3.1.23
r_2648	33.75	EC2.3.1.23
r_2649	33.75	EC2.3.1.23
r_2650	33.75	EC2.3.1.23
r_2651	33.75	EC2.3.1.23
r_2652	33.75	EC2.3.1.23
r_2653	33.75	EC2.3.1.23
r_2654	33.75	EC2.3.1.23
r_2655	33.75	EC2.3.1.23
r_2656	33.75	EC2.3.1.23
r_2657	33.75	EC2.3.1.23
r_2658	33.75	EC2.3.1.23
r_2659	33.75	EC2.3.1.23
r_2660	33.75	EC2.3.1.23
r_2661	33.75	EC2.3.1.23
r_2662	33.75	EC2.3.1.23
r_2663	33.75	EC2.3.1.23
r_2664	33.75	EC2.3.1.23
r_2665	33.75	EC2.3.1.23
r_2666	33.75	EC2.3.1.23
r_2667	33.75	EC2.3.1.23
r_2668	33.75	EC2.3.1.23
r_2669	33.75	EC2.3.1.23
r_2670	33.75	EC2.3.1.23
r_2671	33.75	EC2.3.1.23
r_2672	33.75	EC2.3.1.23
r_2673	33.75	EC2.3.1.23
r_2674	33.75	EC2.3.1.23
r_2675	33.75	EC2.3.1.23
r_2676	33.75	EC2.3.1.23
r_2677	33.75	EC2.3.1.23
r_2678	33.75	EC2.3.1.23
r_2679	33.75	EC2.3.1.23
r_2680	33.75	EC2.3.1.23
r_2681	33.75	EC2.3.1.23
r_2682	33.75	EC2.3.1.23
r_2683	33.75	EC2.3.1.23
r_2684	33.75	EC2.3.1.23
r_2685	33.75	EC2.3.1.23
r_2686	33.75	EC2.3.1.23
r_2687	33.75	EC2.3.1.23
r_2688	33.75	EC2.3.1.23
r_2689	33.75	EC2.3.1.23
r_2690	33.75	EC2.3.1.23
r_2691	33.75	EC2.3.1.23
r_2692	33.75	EC2.3.1.23
r_2693	33.75	EC2.3.1.23
r_2694	33.75	EC2.3.1.23
r_2695	33.75	EC2.3.1.23
r_2696	33.75	EC2.3.1.23
r_2697	33.75	EC2.3.1.23
r_2698	33.75	EC2.3.1.23
r_2699	33.75	EC2.3.1.23
r_2700	33.75	EC2.3.1.23
r_2701	33.75	EC2.3.1.23
r_2702	33.75	EC2.3.1.23
r_2703	33.75	EC2.3.1.23
r_2704	33.75	EC2.3.1.23
r_2705	33.75	EC2.3.1.23
r_2706	33.75	EC2.3.1.23
r_2707	33.75	EC2.3.1.23
r_2708	33.75	EC2.3.1.23
r_2709	33.75	EC2.3.1.23
r_2710	33.75	EC2.3.1.23
r_2711	33.75	EC2.3.1.23
r_2712	33.75	EC2.3.1.23
r_2713	33.75	EC2.3.1.23
r_2714	33.75	EC2.3.1.23
r_2715	33.75	EC2.3.1.23
r_2716	33.75	EC2.3.1.23
r_2717	33.75	EC2.3.1.23
r_2718	33.75	EC2.3.1.23
r_2719	33.75	EC2.3.1.23
r_2720	33.75	EC2.3.1.23
r_2721	33.75	EC2.3.1.23
r_2722	33.75	EC2.3.1.23
r_2723	33.75	EC2.3.1.23
r_2724	33.75	EC2.3.1.23
r_2725	33.75	EC2.3.1.23
r_2726	33.75	EC2.3.1.23
r_2727	33.75	EC2.3.1.23
r_2728	33.75	EC2.3.1.23
r_2729	33.75	EC2.3.1.23
r_2730	33.75	EC2.3.1.23
r_2731	33.75	EC2.3.1.23
r_2732	33.75	EC2.3.1.23
r_2733	33.75	EC2.3.1.23
r_2734	33.75	EC2.3.1.23
r_2735	33.75	EC2.3.1.23
r_2736	33.75	EC2.3.1.23
r_2737	33.75	EC2.3.1.23
r_2738	33.75	EC2.3.1.23
r_2739	33.75	EC2.3.1.23
r_2740	33.75	EC2.3.1.23
r_2741	33.75	EC2.3.1.23
r_2742	33.75	EC2.3.1.23
r_2743	33.75	EC2.3.1.23
r_2744	33.75	EC2.3.1.23
r_2745	33.75	EC2.3.1.23
r_2746	33.75	EC2.3.1.23
r_2747	33.75	EC2.3.1.23
r_2748	33.75	EC2.3.1.23
r_2749	33.75	EC2.3.1.23
r_2750	33.75	EC2.3.1.23
r_2751	33.75	EC2.3.1.23
r_2752	33.75	EC2.3.1.23
r_2753	33.75	EC2.3.1.23
r_2754	33.75	EC2.3.1.23
r_2755	33.75	EC2.3.1.23
r_2756	33.75	EC2.3.1.23
r_2757	33.75	EC2.3.1.23
r_2758	33.75	EC2.3.1.23
r_2759	33.75	EC2.3.1.23
r_2760	33.75	EC2.3.1.23
r_2761	33.75	EC2.3.1.23
r_2762	33.75	EC2.3.1.23
r_2763	33.75	EC2.3.1.23
r_2764	33.75	EC2.3.1.23
r_2765	33.75	EC2.3.1.23
r_2766	33.75	EC2.3.1.23
r_2767	33.75	EC2.3.1.23
r_2768	33.75	EC2.3.1.23
r_2769	33.75	EC2.3.1.23
r_2770	33.75	EC2.3.1.23
r_2771	33.75	EC2.3.1.23
r_2772	33.75	EC2.3.1.23
r_2773	33.75	EC2.3.1.23
r_2774	33.75	EC2.3.1.23
r_2775	33.75	EC2.3.1.23
r_2776	33.75	EC2.3.1.23
r_2777	33.75	EC2.3.1.23
r_2778	33.75	EC2.3.1.23
r_2779	33.75	EC2.3.1.23
r_2780	33.75	EC2.3.1.23
r_2781	33.75	EC2.3.1.23
r_2782	33.75	EC2.3.1.23
r_2783	33.75	EC2.3.1.23
r_2784	33.75	EC2.3.1.23
r_2785	33.75	EC2.3.1.23
r_2786	33.75	EC2.3.1.23
r_2787	33.75	EC2.3.1.23
r_2788	33.75	EC2.3.1.23
r_2789	33.75	EC2.3.1.23
r_2790	33.75	EC2.3.1.23
r_2791	33.75	EC2.3.1.23
r_2792	33.75	EC2.3.1.23
r_2793	33.75	EC2.3.1.23
r_2794	33.75	EC2.3.1.23
r_2795	33.75	EC2.3.1.23
r_2796	33.75	EC2.3.1.23
r_2797	33.75	EC2.3.1.23
r_2798	33.75	EC2.3.1.23
r_2799	33.75	EC2.3.1.23
r_2800	33.75	EC2.3.1.23
r_2801	33.75	EC2.3.1.23
r_2802	33.75	EC2.3.1.23
r_2803	33.75	EC2.3.1.23
r_2804	33.75	EC2.3.1.23
r_2805	33.75	EC2.3.1.23
r_2806	33.75	EC2.3.1.23
r_2807	33.75	EC2.3.1.23
r_2808	33.75	EC2.3.1.23
r_2809	33.75	EC2.3.1.23
r_2810	33.75	EC2.3.1.23
r_2811	33.75	EC2.3.1.23
r_2820	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2821	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2822	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2823	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2824	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2825	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2826	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2827	2.77;2.77	EC2.7.1.67;EC2.7.1.67
r_2828	2.77	EC2.7.1.67
r_2829	2.77	EC2.7.1.67
r_2830	2.77	EC2.7.1.67
r_2831	2.77	EC2.7.1.67
r_2832	2.77	EC2.7.1.67
r_2833	2.77	EC2.7.1.67
r_2834	2.77	EC2.7.1.67
r_2835	2.77	EC2.7.1.67
r_2836	2.77	EC2.7.1.67
r_2837	2.77	EC2.7.1.67
r_2838	2.77	EC2.7.1.67
r_2839	2.77	EC2.7.1.67
r_2840	2.77	EC2.7.1.67
r_2841	2.77	EC2.7.1.67
r_2842	2.77	EC2.7.1.67
r_2843	2.77	EC2.7.1.67
r_2844	2.77	EC2.7.1.67
r_2845	2.77	EC2.7.1.67
r_2846	2.77	EC2.7.1.67
r_2847	2.77	EC2.7.1.67
r_2848	2.77	EC2.7.1.67
r_2849	2.77	EC2.7.1.67
r_2850	2.77	EC2.7.1.67
r_2851	2.77	EC2.7.1.67
r_2852	0.00016	EC2.7.11.1 EC2.7.1.137
r_2853	0.00016	EC2.7.11.1 EC2.7.1.137
r_2854	0.00016	EC2.7.11.1 EC2.7.1.137
r_2855	0.00016	EC2.7.11.1 EC2.7.1.137
r_2856	0.00016	EC2.7.11.1 EC2.7.1.137
r_2857	0.00016	EC2.7.11.1 EC2.7.1.137
r_2858	0.00016	EC2.7.11.1 EC2.7.1.137
r_2859	0.00016	EC2.7.11.1 EC2.7.1.137
r_2860	1.7892	EC2.7.1.68
r_2861	1.7892	EC2.7.1.68
r_2862	1.7892	EC2.7.1.68
r_2863	1.7892	EC2.7.1.68
r_2864	1.7892	EC2.7.1.68
r_2865	1.7892	EC2.7.1.68
r_2866	1.7892	EC2.7.1.68
r_2867	1.7892	EC2.7.1.68
r_2868	1.7892	EC2.7.1.68
r_2869	1.7892	EC2.7.1.68
r_2870	1.7892	EC2.7.1.68
r_2871	1.7892	EC2.7.1.68
r_2872	1.7892	EC2.7.1.68
r_2873	1.7892	EC2.7.1.68
r_2874	1.7892	EC2.7.1.68
r_2875	1.7892	EC2.7.1.68
r_2876	55.8	EC2.7.1.150
r_2877	55.8	EC2.7.1.150
r_2878	55.8	EC2.7.1.150
r_2879	55.8	EC2.7.1.150
r_2880	55.8	EC2.7.1.150
r_2881	55.8	EC2.7.1.150
r_2882	55.8	EC2.7.1.150
r_2883	55.8	EC2.7.1.150
r_2884	0.0034627	EC2.3.1.158
r_2885	0.0034627	EC2.3.1.158
r_2886	0.0034627	EC2.3.1.158
r_2887	0.0034627	EC2.3.1.158
r_2888	0.0034627	EC2.3.1.158
r_2889	0.0034627	EC2.3.1.158
r_2890	0.0034627	EC2.3.1.158
r_2891	0.0034627	EC2.3.1.158
r_2892	0.0034627	EC2.3.1.158
r_2893	0.0034627	EC2.3.1.158
r_2894	0.0034627	EC2.3.1.158
r_2895	0.0034627	EC2.3.1.158
r_2896	0.0034627	EC2.3.1.158
r_2897	0.0034627	EC2.3.1.158
r_2898	0.0034627	EC2.3.1.158
r_2899	0.0034627	EC2.3.1.158
r_2900	0.0034627	EC2.3.1.158
r_2901	0.0034627	EC2.3.1.158
r_2902	0.0034627	EC2.3.1.158
r_2903	0.0034627	EC2.3.1.158
r_2904	0.0034627	EC2.3.1.158
r_2905	0.0034627	EC2.3.1.158
r_2906	0.0034627	EC2.3.1.158
r_2907	0.0034627	EC2.3.1.158
r_2908	0.0034627	EC2.3.1.158
r_2909	0.0034627	EC2.3.1.158
r_2910	0.0034627	EC2.3.1.158
r_2911	0.0034627	EC2.3.1.158
r_2912	0.0034627	EC2.3.1.158
r_2913	0.0034627	EC2.3.1.158
r_2914	0.0034627	EC2.3.1.158
r_2915	0.0034627	EC2.3.1.158
r_2916	0.0034627	EC2.3.1.158
r_2917	0.0034627	EC2.3.1.158
r_2918	0.0034627	EC2.3.1.158
r_2919	0.0034627	EC2.3.1.158
r_2920	0.0034627	EC2.3.1.158
r_2921	0.0034627	EC2.3.1.158
r_2922	0.0034627	EC2.3.1.158
r_2923	0.0034627	EC2.3.1.158
r_2924	0.0034627	EC2.3.1.158
r_2925	0.0034627	EC2.3.1.158
r_2926	0.0034627	EC2.3.1.158
r_2927	0.0034627	EC2.3.1.158
r_2928	0.0034627	EC2.3.1.158
r_2929	0.0034627	EC2.3.1.158
r_2930	0.0034627	EC2.3.1.158
r_2931	0.0034627	EC2.3.1.158
r_2932	0.0034627	EC2.3.1.158
r_2933	0.0034627	EC2.3.1.158
r_2934	0.0034627	EC2.3.1.158
r_2935	0.0034627	EC2.3.1.158
r_2936	0.0034627	EC2.3.1.158
r_2937	0.0034627	EC2.3.1.158
r_2938	0.0034627	EC2.3.1.158
r_2939	0.0034627	EC2.3.1.158
r_2940	0.0034627	EC2.3.1.158
r_2941	0.0034627	EC2.3.1.158
r_2942	0.0034627	EC2.3.1.158
r_2943	0.0034627	EC2.3.1.158
r_2944	0.0034627	EC2.3.1.158
r_2945	0.0034627	EC2.3.1.158
r_2946	0.0034627	EC2.3.1.158
r_2947	0.0034627	EC2.3.1.158
r_2948	0.0034627	EC2.3.1.158
r_2949	0.0034627	EC2.3.1.158
r_2950	0.0034627	EC2.3.1.158
r_2951	0.0034627	EC2.3.1.158
r_2952	0.0034627	EC2.3.1.158
r_2953	0.0034627	EC2.3.1.158
r_2954	0.0034627	EC2.3.1.158
r_2955	0.0034627	EC2.3.1.158
r_2956	0.0034627	EC2.3.1.158
r_2957	0.0034627	EC2.3.1.158
r_2958	0.0034627	EC2.3.1.158
r_2959	0.0034627	EC2.3.1.158
r_2960	0.0034627	EC2.3.1.158
r_2961	0.0034627	EC2.3.1.158
r_2962	0.0034627	EC2.3.1.158
r_2963	0.0034627	EC2.3.1.158
r_2964	0.0034627	EC2.3.1.158
r_2965	0.0034627	EC2.3.1.158
r_2966	0.0034627	EC2.3.1.158
r_2967	0.0034627	EC2.3.1.158
r_2968	0.0034627	EC2.3.1.158
r_2969	0.0034627	EC2.3.1.158
r_2970	0.0034627	EC2.3.1.158
r_2971	0.0034627	EC2.3.1.158
r_2972	0.0034627	EC2.3.1.158
r_2973	0.0034627	EC2.3.1.158
r_2974	0.0034627	EC2.3.1.158
r_2975	0.0034627	EC2.3.1.158
r_2976	0.0034627	EC2.3.1.158
r_2977	0.0034627	EC2.3.1.158
r_2978	0.0034627	EC2.3.1.158
r_2979	0.0034627	EC2.3.1.158
r_2980	0.0034627	EC2.3.1.158
r_2981	0.0034627	EC2.3.1.158
r_2982	0.0034627	EC2.3.1.158
r_2983	0.0034627	EC2.3.1.158
r_2984	0.0034627	EC2.3.1.158
r_2985	0.0034627	EC2.3.1.158
r_2986	0.0034627	EC2.3.1.158
r_2987	0.0034627	EC2.3.1.158
r_2988	0.0034627	EC2.3.1.158
r_2989	0.0034627	EC2.3.1.158
r_2990	0.0034627	EC2.3.1.158
r_2991	0.0034627	EC2.3.1.158
r_2992	0.0034627	EC2.3.1.158
r_2993	0.0034627	EC2.3.1.158
r_2994	0.0034627	EC2.3.1.158
r_2995	0.0034627	EC2.3.1.158
r_2996	0.0034627	EC2.3.1.158
r_2997	0.0034627	EC2.3.1.158
r_2998	0.0034627	EC2.3.1.158
r_2999	0.0034627	EC2.3.1.158
r_3000	0.0034627	EC2.3.1.158
r_3001	0.0034627	EC2.3.1.158
r_3002	0.0034627	EC2.3.1.158
r_3003	0.0034627	EC2.3.1.158
r_3004	0.0034627	EC2.3.1.158
r_3005	0.0034627	EC2.3.1.158
r_3006	0.0034627	EC2.3.1.158
r_3007	0.0034627	EC2.3.1.158
r_3008	0.0034627	EC2.3.1.158
r_3009	0.0034627	EC2.3.1.158
r_3010	0.0034627	EC2.3.1.158
r_3011	0.0034627	EC2.3.1.158
r_3022	1061.5	EC3.1.1.5
r_3023	1061.5	EC3.1.1.5
r_3024	1061.5	EC3.1.1.5
r_3025	1061.5	EC3.1.1.5
r_3026	1061.5	EC3.1.1.5
