S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
6.1.1.7		6.3.2.26		6.3.4.1	4.3.1.3	5.3.1.9		6.3.4.5		5.3.1.6			
6.1.1.9		6.3.2.3		6.3.4.13	4.3.1.5	5.3.3.2		6.3.5.1		5.3.1.8			
6.2.1.1		6.3.2.5		6.3.4.14	4.3.2.1	5.3.3.4		6.3.5.2		5.3.1.9			
6.2.1.16		6.3.2.6		6.3.4.15	4.3.2.2	5.4.2.12		6.3.5.3		5.3.2.5			
6.2.1.3		6.3.3.1		6.3.4.2	4.3.2.3	5.4.2.2		6.3.5.4		5.3.3.2			
6.2.1.5		6.3.3.2		6.3.4.3	4.4.1.1	5.4.2.3		6.3.5.5		5.4.2.1			
6.3.1.14		6.3.3.3		6.3.4.4	4.4.1.14	5.4.2.8		6.4.1.1		5.4.2.2			
6.3.1.2		6.3.4.10		6.3.4.5	4.4.1.17	5.4.99.5		6.4.1.2		5.4.2.3			
6.3.1.20		6.3.4.11		6.3.4.6	4.4.1.22	5.4.99.7		6.4.1.3		5.4.2.5			
6.3.2.1		6.3.4.13		6.3.5.1	4.4.1.5	5.5.1.1		6.4.1.4		5.4.2.7			
6.3.2.12		6.3.4.14		6.3.5.2	4.4.1.8	5.5.1.2				5.4.2.8			
6.3.2.17		6.3.4.15		6.3.5.3	4.6.1.1	5.5.1.4				5.4.99.5			
6.3.2.2		6.3.4.2		6.3.5.4	4.6.1.13	6.1.1.1				5.4.99.7			
6.3.2.3		6.3.4.3		6.3.5.5	4.99.1.1	6.1.1.10				5.5.1.4			
6.3.2.5		6.3.4.4		6.4.1.1	4.99.1.4	6.1.1.11				6.1.1.1			
6.3.2.6		6.3.4.5		6.4.1.2	5.1.1.1	6.1.1.12				6.1.1.10			
6.3.3.1		6.3.4.6		6.4.1.4	5.1.1.17	6.1.1.14				6.1.1.11			
6.3.3.2		6.3.4.9			5.1.1.4	6.1.1.15				6.1.1.12			
6.3.3.3		6.3.5.1			5.1.3.1	6.1.1.16				6.1.1.14			
6.3.4.10		6.3.5.2			5.1.3.2	6.1.1.17				6.1.1.15			
6.3.4.11		6.3.5.3			5.1.3.3	6.1.1.18				6.1.1.17			
6.3.4.13		6.3.5.4			5.1.3.4	6.1.1.19				6.1.1.18			
6.3.4.14		6.3.5.5			5.1.3.7	6.1.1.2				6.1.1.2			
6.3.4.15		6.4.1.1			5.2.1.2	6.1.1.20				6.1.1.20			
6.3.4.2		6.4.1.2			5.3.1.1	6.1.1.21				6.1.1.22			
6.3.4.21		6.4.1.3			5.3.1.12	6.1.1.22				6.1.1.23			
6.3.4.3		6.4.1.4			5.3.1.16	6.1.1.3				6.1.1.3			
6.3.4.4					5.3.1.24	6.1.1.4				6.1.1.4			
6.3.4.5					5.3.1.6	6.1.1.5				6.1.1.5			
6.3.4.6					5.3.1.8	6.1.1.6				6.1.1.6			
6.3.4.9					5.3.1.9	6.1.1.7				6.1.1.7			
6.3.5.1					5.3.3.2	6.1.1.9				6.2.1.1			
6.3.5.2					5.3.3.5	6.2.1.1				6.2.1.17			
6.3.5.3					5.4.2.1	6.2.1.12				6.2.1.3			
6.3.5.4					5.4.2.2	6.2.1.16				6.2.1.4			
6.3.5.5					5.4.2.3	6.2.1.17				6.2.1.5			
6.3.5.7					5.4.2.7	6.2.1.2				6.3.1.1			
6.4.1.1					5.4.2.8	6.2.1.3				6.3.1.2			
6.4.1.2					5.4.3.8	6.2.1.4				6.3.1.5			
					5.4.99.1	6.2.1.5				6.3.2.1			
					5.4.99.16	6.3.1.2				6.3.2.12			
					5.4.99.5	6.3.2.1				6.3.2.17			
					5.4.99.7	6.3.2.17				6.3.2.2			
					5.5.1.4	6.3.2.2				6.3.2.3			
					5.5.1.6	6.3.2.3				6.3.2.5			
					6.1.1.1	6.3.2.5				6.3.2.6			
					6.1.1.10	6.3.2.6				6.3.3.1			
					6.1.1.11	6.3.3.1				6.3.3.2			
					6.1.1.12	6.3.3.3				6.3.4.1			
					6.1.1.14	6.3.4.13				6.3.4.13			
					6.1.1.15	6.3.4.14				6.3.4.14			
					6.1.1.16	6.3.4.2				6.3.4.2			
					6.1.1.17	6.3.4.21				6.3.4.3			
					6.1.1.18	6.3.4.3				6.3.4.4			
					6.1.1.19	6.3.4.4				6.3.4.5			
					6.1.1.2	6.3.4.5				6.3.4.6			
					6.1.1.20	6.3.4.6				6.3.5.1			
					6.1.1.21	6.3.5.1				6.3.5.2			
					6.1.1.22	6.3.5.2				6.3.5.3			
					6.1.1.3	6.3.5.3				6.3.5.4			
					6.1.1.4	6.3.5.4				6.3.5.5			
					6.1.1.5	6.3.5.5				6.3.5.7			
					6.1.1.6	6.3.5.7				6.4.1.1			
					6.1.1.7	6.4.1.1				6.4.1.2			
					6.1.1.9	6.4.1.2							
					6.2.1.1								
					6.2.1.12								
					6.2.1.14								
					6.2.1.16								
					6.2.1.17								
					6.2.1.3								
					6.2.1.30								
					6.2.1.4								
					6.2.1.5								
					6.3.1.1								
					6.3.1.2								
					6.3.2.1								
					6.3.2.12								
					6.3.2.17								
					6.3.2.2								
					6.3.2.26								
					6.3.2.3								
					6.3.2.5								
					6.3.2.6								
					6.3.3.1								
					6.3.3.2								
					6.3.3.3								
					6.3.4.10								
					6.3.4.11								
					6.3.4.13								
					6.3.4.14								
					6.3.4.15								
					6.3.4.2								
					6.3.4.3								
					6.3.4.4								
					6.3.4.5								
					6.3.4.6								
					6.3.4.9								
					6.3.5.1								
					6.3.5.2								
					6.3.5.3								
					6.3.5.4								
					6.3.5.5								
					6.3.5.8								
					6.4.1.1								
					6.4.1.2								
					6.4.1.3								
					6.4.1.4								
