S_cerevisiae	R_toruloides	P_chrysogenum	L_kluyveri	A_terreus	A_oryzae	A_niger	A_nidulans	M_alpina	E_gossypii	K_lactis	Y_lipolytica	K_phaffii	N_crassa
2.7.2.11	2.7.7.23	2.7.2.3		2.7.1.68	2.7.1.23	2.7.1.31	3.5.3.4	2.7.1.6		2.7.1.150	3.3.1.1	3.1.3.11	3.2.1.28
2.7.2.3	2.7.7.3	2.7.2.4		2.7.1.71	2.7.1.24	2.7.1.32	3.5.4.1	2.7.1.67		2.7.1.151	3.5.1.19	3.1.3.12	3.2.1.4
2.7.2.4	2.7.7.4	2.7.2.8		2.7.1.82	2.7.1.25	2.7.1.33	3.5.4.10	2.7.1.68		2.7.1.158	3.5.1.25	3.1.3.15	3.2.2.1
2.7.2.8	2.7.7.41	2.7.4.11		2.7.1.86	2.7.1.26	2.7.1.35	3.5.4.16	2.7.1.71		2.7.1.17	3.5.1.4	3.1.3.2	3.2.2.14
2.7.3.3	2.7.7.5	2.7.4.14		2.7.1.91	2.7.1.29	2.7.1.36	3.5.4.19	2.7.1.82		2.7.1.173	3.5.1.54	3.1.3.25	3.2.2.16
2.7.4.10	2.7.7.53	2.7.4.2		2.7.1.94	2.7.1.30	2.7.1.39	3.5.4.2	2.7.1.83		2.7.1.174	3.5.2.17	3.1.3.27	3.2.2.4
2.7.4.14	2.7.7.87	2.7.4.22		2.7.2.1	2.7.1.32	2.7.1.40	3.5.4.4	2.7.1.91		2.7.1.2	3.5.2.3	3.1.3.3	3.2.2.5
2.7.4.2	2.7.7.9	2.7.4.3		2.7.2.11	2.7.1.33	2.7.1.44	3.5.4.5	2.7.2.11		2.7.1.22	3.5.2.5	3.1.3.4	3.3.1.1
2.7.4.21	2.7.8.15	2.7.4.6		2.7.2.3	2.7.1.35	2.7.1.47	3.5.4.6	2.7.2.3		2.7.1.23	3.5.2.9	3.1.3.46	3.4.13.5
2.7.4.24	2.7.8.7	2.7.4.7		2.7.2.4	2.7.1.36	2.7.1.48	3.5.4.9	2.7.2.4		2.7.1.24	3.5.3.1	3.1.3.51	3.4.19.9
